Polynomial order,Approach,Nb. of Threads,Time (ms)
5,Simple Sequential,-,1
5,Karatsuba Sequential,-,1
5,Simple Parallelized,1,2
5,Karatsuba Parallelized,1,3
5,Simple Parallelized,2,0
5,Karatsuba Parallelized,2,1
5,Simple Parallelized,3,0
5,Karatsuba Parallelized,3,1
5,Simple Parallelized,4,1
5,Karatsuba Parallelized,4,2
5,Simple Parallelized,5,0
5,Karatsuba Parallelized,5,1
5,Simple Parallelized,10,0
5,Karatsuba Parallelized,10,1
5,Simple Parallelized,15,1
5,Karatsuba Parallelized,15,1
5,Simple Parallelized,30,0
5,Karatsuba Parallelized,30,1
10,Simple Sequential,-,0
10,Karatsuba Sequential,-,0
10,Simple Parallelized,1,0
10,Karatsuba Parallelized,1,2
10,Simple Parallelized,2,0
10,Karatsuba Parallelized,2,2
10,Simple Parallelized,3,0
10,Karatsuba Parallelized,3,4
10,Simple Parallelized,4,0
10,Karatsuba Parallelized,4,2
10,Simple Parallelized,5,1
10,Karatsuba Parallelized,5,2
10,Simple Parallelized,10,1
10,Karatsuba Parallelized,10,2
10,Simple Parallelized,15,1
10,Karatsuba Parallelized,15,3
10,Simple Parallelized,30,1
10,Karatsuba Parallelized,30,3
50,Simple Sequential,-,0
50,Karatsuba Sequential,-,1
50,Simple Parallelized,1,1
50,Karatsuba Parallelized,1,8
50,Simple Parallelized,2,0
50,Karatsuba Parallelized,2,13
50,Simple Parallelized,3,0
50,Karatsuba Parallelized,3,22
50,Simple Parallelized,4,0
50,Karatsuba Parallelized,4,22
50,Simple Parallelized,5,0
50,Karatsuba Parallelized,5,14
50,Simple Parallelized,10,1
50,Karatsuba Parallelized,10,14
50,Simple Parallelized,15,0
50,Karatsuba Parallelized,15,14
50,Simple Parallelized,30,1
50,Karatsuba Parallelized,30,13
100,Simple Sequential,-,0
100,Karatsuba Sequential,-,0
100,Simple Parallelized,1,1
100,Karatsuba Parallelized,1,8
100,Simple Parallelized,2,1
100,Karatsuba Parallelized,2,12
100,Simple Parallelized,3,1
100,Karatsuba Parallelized,3,15
100,Simple Parallelized,4,0
100,Karatsuba Parallelized,4,13
100,Simple Parallelized,5,0
100,Karatsuba Parallelized,5,13
100,Simple Parallelized,10,0
100,Karatsuba Parallelized,10,17
100,Simple Parallelized,15,1
100,Karatsuba Parallelized,15,19
100,Simple Parallelized,30,1
100,Karatsuba Parallelized,30,14
500,Simple Sequential,-,2
500,Karatsuba Sequential,-,6
500,Simple Parallelized,1,2
500,Karatsuba Parallelized,1,11
500,Simple Parallelized,2,2
500,Karatsuba Parallelized,2,10
500,Simple Parallelized,3,2
500,Karatsuba Parallelized,3,17
500,Simple Parallelized,4,1
500,Karatsuba Parallelized,4,14
500,Simple Parallelized,5,2
500,Karatsuba Parallelized,5,14
500,Simple Parallelized,10,1
500,Karatsuba Parallelized,10,14
500,Simple Parallelized,15,1
500,Karatsuba Parallelized,15,14
500,Simple Parallelized,30,1
500,Karatsuba Parallelized,30,14
1000,Simple Sequential,-,11
1000,Karatsuba Sequential,-,10
1000,Simple Parallelized,1,14
1000,Karatsuba Parallelized,1,18
1000,Simple Parallelized,2,7
1000,Karatsuba Parallelized,2,10
1000,Simple Parallelized,3,7
1000,Karatsuba Parallelized,3,16
1000,Simple Parallelized,4,4
1000,Karatsuba Parallelized,4,16
1000,Simple Parallelized,5,4
1000,Karatsuba Parallelized,5,16
1000,Simple Parallelized,10,2
1000,Karatsuba Parallelized,10,16
1000,Simple Parallelized,15,2
1000,Karatsuba Parallelized,15,16
1000,Simple Parallelized,30,2
1000,Karatsuba Parallelized,30,16
2500,Simple Sequential,-,52
2500,Karatsuba Sequential,-,48
2500,Simple Parallelized,1,79
2500,Karatsuba Parallelized,1,55
2500,Simple Parallelized,2,45
2500,Karatsuba Parallelized,2,15
2500,Simple Parallelized,3,41
2500,Karatsuba Parallelized,3,21
2500,Simple Parallelized,4,31
2500,Karatsuba Parallelized,4,19
2500,Simple Parallelized,5,27
2500,Karatsuba Parallelized,5,19
2500,Simple Parallelized,10,17
2500,Karatsuba Parallelized,10,26
2500,Simple Parallelized,15,15
2500,Karatsuba Parallelized,15,20
2500,Simple Parallelized,30,12
2500,Karatsuba Parallelized,30,17
5000,Simple Sequential,-,168
5000,Karatsuba Sequential,-,142
5000,Simple Parallelized,1,380
5000,Karatsuba Parallelized,1,150
5000,Simple Parallelized,2,210
5000,Karatsuba Parallelized,2,29
5000,Simple Parallelized,3,198
5000,Karatsuba Parallelized,3,31
5000,Simple Parallelized,4,126
5000,Karatsuba Parallelized,4,39
5000,Simple Parallelized,5,128
5000,Karatsuba Parallelized,5,29
5000,Simple Parallelized,10,66
5000,Karatsuba Parallelized,10,29
5000,Simple Parallelized,15,54
5000,Karatsuba Parallelized,15,28
5000,Simple Parallelized,30,47
5000,Karatsuba Parallelized,30,29
10000,Simple Sequential,-,761
10000,Karatsuba Sequential,-,441
10000,Simple Parallelized,1,1360
10000,Karatsuba Parallelized,1,437
10000,Simple Parallelized,2,756
10000,Karatsuba Parallelized,2,80
10000,Simple Parallelized,3,691
10000,Karatsuba Parallelized,3,96
10000,Simple Parallelized,4,536
10000,Karatsuba Parallelized,4,74
10000,Simple Parallelized,5,477
10000,Karatsuba Parallelized,5,65
10000,Simple Parallelized,10,272
10000,Karatsuba Parallelized,10,84
10000,Simple Parallelized,15,205
10000,Karatsuba Parallelized,15,63
10000,Simple Parallelized,30,172
10000,Karatsuba Parallelized,30,83
