Nb. of vertices,Nb. of Threads,Time (ms)
5,1,2
5,2,0
5,3,0
5,4,1
5,5,0
5,10,0
5,15,1
5,30,0
10,1,0
10,2,0
10,3,1
10,4,0
10,5,1
10,10,1
10,15,1
10,30,0
50,1,1
50,2,0
50,3,0
50,4,1
50,5,0
50,10,1
50,15,1
50,30,2
100,1,0
100,2,1
100,3,0
100,4,1
100,5,0
100,10,1
100,15,1
100,30,1
500,1,1
500,2,1
500,3,1
500,4,1
500,5,2
500,10,1
500,15,2
500,30,3
1000,1,2
1000,2,2
1000,3,2
1000,4,2
1000,5,3
1000,10,3
1000,15,3
1000,30,4
2500,1,3
2500,2,4
2500,3,3
2500,4,4
2500,5,3
2500,10,6
2500,15,3
2500,30,5
5000,1,12
5000,2,12
5000,3,12
5000,4,11
5000,5,12
5000,10,12
5000,15,12
5000,30,13
10000,1,49
10000,2,50
10000,3,50
10000,4,49
10000,5,49
10000,10,52
10000,15,63
10000,30,57
